player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Alcantara, Sandy",L,0-0,CH zone 13 (8.23%),FF zone 11 (6.49%),CU zone 13 (5.63%),SL zone 11 (5.19%),SL zone 14 (3.9%)
"Alcantara, Sandy",L,0-1,CH zone 13 (14.81%),CH zone 7 (8.33%),CU zone 14 (7.41%),CH zone 11 (5.56%),CH zone 14 (4.63%)
"Alcantara, Sandy",L,0-2,CH zone 13 (16.33%),FF zone 11 (14.29%),FF zone 12 (10.2%),CU zone 14 (6.12%),SL zone 14 (4.08%)
"Alcantara, Sandy",L,1-0,CH zone 13 (13.0%),SL zone 14 (6.0%),FF zone 5 (6.0%),SL zone 13 (6.0%),SL zone 4 (6.0%)
"Alcantara, Sandy",L,1-1,CH zone 13 (11.58%),CH zone 11 (8.42%),SL zone 14 (7.37%),CH zone 8 (4.21%),CU zone 7 (3.16%)
"Alcantara, Sandy",L,1-2,FF zone 11 (16.67%),CU zone 14 (11.54%),CH zone 13 (8.97%),SL zone 14 (5.13%),CH zone 8 (3.85%)
"Alcantara, Sandy",L,2-0,FF zone 8 (8.11%),CH zone 7 (5.41%),FF zone 11 (5.41%),SL zone 9 (5.41%),SL zone 7 (5.41%)
"Alcantara, Sandy",L,2-1,CH zone 13 (12.07%),CU zone 14 (6.9%),SI zone 8 (6.9%),SI zone 4 (5.17%),CH zone 7 (5.17%)
"Alcantara, Sandy",L,2-2,CH zone 13 (14.63%),FF zone 11 (7.32%),CH zone 14 (7.32%),FF zone 6 (6.1%),SL zone 14 (6.1%)
"Alcantara, Sandy",L,3-0,FF zone 4 (21.43%),SI zone 13 (14.29%),CH zone 4 (7.14%),CH zone 13 (7.14%),FF zone 2 (7.14%)
"Alcantara, Sandy",L,3-1,SI zone 7 (12.5%),SI zone 4 (8.33%),SI zone 11 (8.33%),SI zone 8 (8.33%),FF zone 11 (8.33%)
"Alcantara, Sandy",L,3-2,SI zone 9 (6.78%),FF zone 5 (6.78%),SL zone 4 (6.78%),FF zone 11 (6.78%),SI zone 11 (5.08%)
"Alcantara, Sandy",R,0-0,SI zone 5 (6.55%),CH zone 13 (6.55%),CU zone 14 (4.8%),SI zone 13 (4.8%),SI zone 14 (4.37%)
"Alcantara, Sandy",R,0-1,SL zone 14 (12.5%),CH zone 13 (10.83%),CU zone 14 (7.5%),SI zone 11 (5.83%),SI zone 4 (5.0%)
"Alcantara, Sandy",R,0-2,SL zone 14 (12.05%),CU zone 14 (10.84%),FF zone 2 (9.64%),FF zone 12 (8.43%),FF zone 11 (4.82%)
"Alcantara, Sandy",R,1-0,SL zone 14 (7.69%),SI zone 11 (7.69%),SI zone 7 (6.41%),SI zone 9 (5.13%),CU zone 14 (3.85%)
"Alcantara, Sandy",R,1-1,CH zone 13 (12.66%),CU zone 14 (8.86%),SI zone 11 (6.33%),CH zone 7 (5.06%),CH zone 14 (5.06%)
"Alcantara, Sandy",R,1-2,SL zone 14 (12.5%),FF zone 11 (10.23%),CU zone 14 (10.23%),CH zone 13 (9.09%),FF zone 12 (6.82%)
"Alcantara, Sandy",R,2-0,SI zone 5 (15.0%),SI zone 11 (15.0%),SI zone 13 (10.0%),SI zone 14 (10.0%),FF zone 6 (5.0%)
"Alcantara, Sandy",R,2-1,SI zone 5 (10.26%),SI zone 7 (10.26%),SI zone 13 (7.69%),SI zone 8 (7.69%),CH zone 13 (5.13%)
"Alcantara, Sandy",R,2-2,SL zone 14 (11.25%),CH zone 14 (7.5%),CH zone 7 (6.25%),CH zone 13 (6.25%),CU zone 9 (5.0%)
"Alcantara, Sandy",R,3-0,FF zone 11 (40.0%),FF zone 7 (20.0%),SI zone 11 (20.0%),SI zone 13 (20.0%),
"Alcantara, Sandy",R,3-1,SI zone 2 (16.67%),SI zone 4 (16.67%),SI zone 8 (16.67%),SI zone 11 (16.67%),SI zone 13 (16.67%)
"Alcantara, Sandy",R,3-2,SI zone 11 (14.71%),SI zone 8 (8.82%),SI zone 4 (8.82%),CH zone 7 (5.88%),SI zone 1 (5.88%)
