player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Bassitt, Chris",L,0-0,SI zone 13 (6.55%),SI zone 11 (5.95%),SI zone 4 (5.36%),CU zone 13 (4.17%),SI zone 7 (4.17%)
"Bassitt, Chris",L,0-1,CU zone 13 (10.53%),FC zone 12 (9.21%),FS zone 13 (7.89%),CU zone 14 (7.89%),FC zone 2 (6.58%)
"Bassitt, Chris",L,0-2,FC zone 11 (24.14%),FC zone 12 (13.79%),SI zone 6 (13.79%),CU zone 14 (10.34%),CU zone 11 (3.45%)
"Bassitt, Chris",L,1-0,SI zone 11 (7.04%),SI zone 1 (7.04%),FC zone 11 (5.63%),SI zone 13 (5.63%),FS zone 14 (5.63%)
"Bassitt, Chris",L,1-1,FC zone 12 (8.54%),FS zone 13 (7.32%),CU zone 13 (7.32%),CU zone 8 (6.1%),FC zone 2 (6.1%)
"Bassitt, Chris",L,1-2,FC zone 2 (7.46%),FC zone 12 (7.46%),FF zone 11 (5.97%),SI zone 14 (5.97%),SI zone 12 (5.97%)
"Bassitt, Chris",L,2-0,SI zone 11 (31.82%),SI zone 4 (13.64%),CU zone 11 (9.09%),FC zone 3 (9.09%),FC zone 4 (4.55%)
"Bassitt, Chris",L,2-1,SI zone 1 (12.5%),SI zone 5 (9.38%),SI zone 2 (6.25%),SI zone 4 (6.25%),FC zone 1 (6.25%)
"Bassitt, Chris",L,2-2,FC zone 11 (9.68%),CU zone 13 (9.68%),CU zone 14 (9.68%),FC zone 12 (6.45%),SI zone 12 (4.84%)
"Bassitt, Chris",L,3-0,FC zone 6 (12.5%),FF zone 6 (12.5%),SI zone 1 (12.5%),SI zone 4 (12.5%),SI zone 5 (12.5%)
"Bassitt, Chris",L,3-1,CU zone 4 (14.29%),FC zone 6 (14.29%),SI zone 4 (14.29%),CU zone 13 (7.14%),FC zone 1 (7.14%)
"Bassitt, Chris",L,3-2,FC zone 11 (10.2%),FC zone 2 (8.16%),CU zone 14 (6.12%),SI zone 11 (6.12%),SI zone 9 (4.08%)
"Bassitt, Chris",R,0-0,SI zone 11 (19.59%),SI zone 13 (10.14%),SI zone 14 (6.08%),SI zone 4 (5.41%),SI zone 5 (5.41%)
"Bassitt, Chris",R,0-1,SI zone 13 (19.23%),SI zone 11 (10.26%),SI zone 8 (6.41%),SI zone 7 (6.41%),SI zone 5 (5.13%)
"Bassitt, Chris",R,0-2,CU zone 14 (18.0%),ST zone 14 (12.0%),FC zone 12 (8.0%),SI zone 14 (6.0%),FS zone 14 (6.0%)
"Bassitt, Chris",R,1-0,SI zone 4 (11.54%),SI zone 13 (11.54%),SI zone 11 (9.62%),SI zone 5 (7.69%),SI zone 1 (5.77%)
"Bassitt, Chris",R,1-1,SI zone 4 (20.0%),ST zone 14 (8.0%),SI zone 11 (6.0%),SI zone 9 (6.0%),SI zone 7 (6.0%)
"Bassitt, Chris",R,1-2,FC zone 12 (20.0%),ST zone 14 (10.91%),CU zone 14 (9.09%),FC zone 3 (3.64%),FC zone 6 (3.64%)
"Bassitt, Chris",R,2-0,SI zone 1 (14.29%),SI zone 4 (14.29%),SI zone 11 (14.29%),CU zone 11 (7.14%),SI zone 5 (7.14%)
"Bassitt, Chris",R,2-1,SI zone 5 (27.78%),SI zone 4 (16.67%),SI zone 6 (11.11%),CU zone 8 (5.56%),CU zone 13 (5.56%)
"Bassitt, Chris",R,2-2,FC zone 12 (11.32%),SI zone 14 (11.32%),FC zone 2 (7.55%),SI zone 4 (5.66%),SI zone 7 (5.66%)
"Bassitt, Chris",R,3-0,SI zone 1 (50.0%),SI zone 4 (50.0%),,,
"Bassitt, Chris",R,3-1,SI zone 1 (20.0%),SI zone 5 (20.0%),SI zone 7 (20.0%),SI zone 11 (20.0%),SL zone 14 (20.0%)
"Bassitt, Chris",R,3-2,CU zone 14 (13.33%),FC zone 6 (6.67%),SI zone 2 (6.67%),SI zone 3 (6.67%),SI zone 5 (6.67%)
