player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Berríos, José",L,0-0,SV zone 13 (7.18%),SI zone 11 (6.08%),FF zone 11 (4.97%),SV zone 11 (4.42%),CH zone 13 (4.42%)
"Berríos, José",L,0-1,FF zone 11 (11.11%),FF zone 12 (6.17%),CH zone 13 (6.17%),FC zone 12 (4.94%),SV zone 13 (4.94%)
"Berríos, José",L,0-2,SV zone 14 (17.14%),FF zone 11 (17.14%),CH zone 13 (11.43%),CH zone 14 (8.57%),SI zone 3 (5.71%)
"Berríos, José",L,1-0,SI zone 13 (8.33%),SV zone 13 (6.94%),CH zone 13 (6.94%),SI zone 8 (5.56%),SV zone 14 (4.17%)
"Berríos, José",L,1-1,SV zone 14 (7.14%),CH zone 13 (5.71%),FC zone 12 (5.71%),SV zone 13 (4.29%),FF zone 13 (4.29%)
"Berríos, José",L,1-2,SV zone 14 (17.24%),FF zone 11 (13.79%),CH zone 13 (8.62%),SI zone 12 (6.9%),CH zone 7 (5.17%)
"Berríos, José",L,2-0,SV zone 11 (16.67%),FF zone 11 (12.5%),SV zone 14 (12.5%),CH zone 14 (8.33%),SI zone 5 (8.33%)
"Berríos, José",L,2-1,SV zone 14 (11.76%),CH zone 13 (11.76%),FF zone 3 (8.82%),SI zone 13 (5.88%),SI zone 7 (5.88%)
"Berríos, José",L,2-2,SV zone 14 (12.5%),CH zone 13 (12.5%),SI zone 14 (8.33%),FF zone 11 (6.25%),CH zone 7 (6.25%)
"Berríos, José",L,3-0,FF zone 13 (23.08%),FF zone 11 (15.38%),SI zone 8 (15.38%),CH zone 11 (7.69%),CH zone 13 (7.69%)
"Berríos, José",L,3-1,CH zone 13 (18.18%),SI zone 4 (13.64%),SI zone 7 (9.09%),SI zone 14 (9.09%),SV zone 11 (9.09%)
"Berríos, José",L,3-2,CH zone 13 (20.51%),SV zone 13 (10.26%),CH zone 8 (7.69%),FF zone 5 (5.13%),CH zone 7 (5.13%)
"Berríos, José",R,0-0,SI zone 14 (8.82%),SI zone 11 (8.82%),SV zone 14 (8.09%),SV zone 5 (8.09%),SI zone 4 (5.88%)
"Berríos, José",R,0-1,SV zone 14 (22.86%),SI zone 11 (7.14%),SI zone 14 (7.14%),SI zone 13 (5.71%),CH zone 14 (5.71%)
"Berríos, José",R,0-2,SV zone 14 (34.48%),CH zone 14 (13.79%),CH zone 13 (10.34%),SI zone 14 (10.34%),CH zone 7 (6.9%)
"Berríos, José",R,1-0,SV zone 14 (19.05%),SI zone 14 (11.9%),FF zone 7 (7.14%),SV zone 8 (4.76%),SI zone 4 (4.76%)
"Berríos, José",R,1-1,SV zone 14 (19.3%),SI zone 11 (10.53%),SI zone 14 (8.77%),SI zone 4 (8.77%),SI zone 13 (7.02%)
"Berríos, José",R,1-2,SV zone 14 (28.89%),CH zone 13 (13.33%),FF zone 12 (6.67%),CH zone 14 (6.67%),SV zone 13 (4.44%)
"Berríos, José",R,2-0,SI zone 14 (25.0%),SV zone 14 (25.0%),FC zone 14 (8.33%),FF zone 8 (8.33%),SI zone 7 (8.33%)
"Berríos, José",R,2-1,CH zone 7 (10.53%),SI zone 6 (10.53%),SI zone 11 (10.53%),SV zone 8 (10.53%),SV zone 9 (10.53%)
"Berríos, José",R,2-2,SV zone 14 (17.65%),CH zone 7 (11.76%),SI zone 13 (8.82%),SI zone 11 (5.88%),SI zone 6 (5.88%)
"Berríos, José",R,3-0,FF zone 2 (20.0%),FF zone 3 (20.0%),FF zone 5 (20.0%),SI zone 2 (20.0%),SI zone 6 (20.0%)
"Berríos, José",R,3-1,FC zone 14 (12.5%),FF zone 2 (12.5%),SI zone 1 (12.5%),SI zone 7 (12.5%),SI zone 8 (12.5%)
"Berríos, José",R,3-2,FF zone 4 (15.38%),SI zone 11 (15.38%),SI zone 13 (15.38%),FF zone 5 (7.69%),FF zone 11 (7.69%)
