player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Kershaw, Clayton",L,0-0,FF zone 12 (16.67%),SL zone 8 (16.67%),FF zone 4 (11.11%),FF zone 9 (11.11%),FF zone 7 (5.56%)
"Kershaw, Clayton",L,0-1,FF zone 12 (22.22%),CU zone 13 (11.11%),CU zone 14 (11.11%),FF zone 7 (11.11%),FF zone 9 (11.11%)
"Kershaw, Clayton",L,0-2,SL zone 8 (50.0%),CU zone 14 (25.0%),FF zone 4 (25.0%),,
"Kershaw, Clayton",L,1-0,SL zone 13 (33.33%),FF zone 3 (16.67%),FF zone 5 (16.67%),FF zone 8 (16.67%),SL zone 12 (16.67%)
"Kershaw, Clayton",L,1-1,CU zone 9 (12.5%),CU zone 12 (12.5%),FF zone 2 (12.5%),FF zone 8 (12.5%),FF zone 13 (12.5%)
"Kershaw, Clayton",L,1-2,SL zone 8 (25.0%),SL zone 13 (25.0%),CU zone 3 (12.5%),CU zone 8 (12.5%),CU zone 12 (12.5%)
"Kershaw, Clayton",L,2-0,SL zone 8 (100.0%),,,,
"Kershaw, Clayton",L,2-1,CU zone 12 (25.0%),FF zone 7 (25.0%),SL zone 9 (25.0%),SL zone 13 (25.0%),
"Kershaw, Clayton",L,2-2,SL zone 13 (20.0%),CU zone 5 (10.0%),FF zone 5 (10.0%),FF zone 8 (10.0%),FF zone 9 (10.0%)
"Kershaw, Clayton",L,3-1,SL zone 5 (50.0%),SL zone 7 (50.0%),,,
"Kershaw, Clayton",L,3-2,FF zone 5 (50.0%),SL zone 12 (50.0%),,,
"Kershaw, Clayton",R,0-0,SL zone 13 (11.54%),FF zone 3 (11.54%),FF zone 9 (9.62%),FF zone 13 (7.69%),FF zone 1 (5.77%)
"Kershaw, Clayton",R,0-1,SL zone 13 (11.54%),CU zone 12 (7.69%),CU zone 13 (7.69%),FF zone 13 (7.69%),FS zone 14 (7.69%)
"Kershaw, Clayton",R,0-2,FF zone 12 (21.43%),SL zone 13 (21.43%),CU zone 13 (14.29%),CU zone 14 (14.29%),CU zone 12 (7.14%)
"Kershaw, Clayton",R,1-0,FF zone 12 (15.0%),FF zone 14 (10.0%),SL zone 6 (10.0%),SL zone 13 (10.0%),CU zone 13 (5.0%)
"Kershaw, Clayton",R,1-1,CU zone 13 (17.65%),SL zone 14 (17.65%),SL zone 8 (11.76%),CU zone 11 (5.88%),CU zone 12 (5.88%)
"Kershaw, Clayton",R,1-2,SL zone 13 (21.05%),CU zone 13 (15.79%),CU zone 12 (10.53%),CU zone 14 (10.53%),SL zone 14 (10.53%)
"Kershaw, Clayton",R,2-0,SL zone 5 (30.0%),FF zone 12 (20.0%),FF zone 14 (20.0%),FF zone 8 (10.0%),SL zone 12 (10.0%)
"Kershaw, Clayton",R,2-1,FF zone 2 (11.11%),FF zone 6 (11.11%),FF zone 11 (11.11%),FF zone 14 (11.11%),FS zone 3 (11.11%)
"Kershaw, Clayton",R,2-2,CU zone 6 (14.29%),CU zone 13 (14.29%),FF zone 12 (14.29%),FS zone 14 (14.29%),FF zone 2 (7.14%)
"Kershaw, Clayton",R,3-0,FF zone 5 (16.67%),FF zone 8 (16.67%),FF zone 11 (16.67%),FF zone 12 (16.67%),FF zone 14 (16.67%)
"Kershaw, Clayton",R,3-1,SL zone 13 (40.0%),FF zone 14 (20.0%),SL zone 6 (20.0%),SL zone 9 (20.0%),
"Kershaw, Clayton",R,3-2,SL zone 13 (30.0%),FF zone 2 (10.0%),FF zone 7 (10.0%),SL zone 2 (10.0%),SL zone 3 (10.0%)
