player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Kirby, George",L,0-0,FF zone 12 (6.99%),SL zone 14 (5.94%),KC zone 14 (5.94%),FF zone 2 (5.24%),FF zone 11 (5.24%)
"Kirby, George",L,0-1,KC zone 14 (8.67%),FF zone 12 (8.67%),FF zone 3 (7.33%),FF zone 11 (6.67%),FS zone 13 (6.0%)
"Kirby, George",L,0-2,SL zone 14 (19.7%),KC zone 14 (18.18%),FF zone 12 (12.12%),FF zone 11 (10.61%),KC zone 13 (6.06%)
"Kirby, George",L,1-0,SL zone 14 (10.48%),FF zone 11 (7.62%),SL zone 13 (6.67%),SL zone 5 (6.67%),SL zone 4 (6.67%)
"Kirby, George",L,1-1,FF zone 12 (11.45%),KC zone 14 (9.16%),FF zone 11 (7.63%),FF zone 2 (6.11%),KC zone 13 (5.34%)
"Kirby, George",L,1-2,KC zone 14 (17.19%),SL zone 14 (10.94%),FF zone 11 (10.94%),KC zone 13 (5.47%),FF zone 12 (4.69%)
"Kirby, George",L,2-0,SL zone 4 (11.54%),SI zone 8 (11.54%),SI zone 5 (7.69%),SL zone 11 (7.69%),SI zone 11 (7.69%)
"Kirby, George",L,2-1,FF zone 2 (13.11%),SL zone 14 (8.2%),SL zone 13 (8.2%),SL zone 7 (6.56%),KC zone 14 (6.56%)
"Kirby, George",L,2-2,SL zone 14 (16.51%),KC zone 14 (12.84%),SI zone 12 (10.09%),SL zone 9 (4.59%),KC zone 13 (3.67%)
"Kirby, George",L,3-0,FF zone 2 (12.5%),FF zone 3 (12.5%),FF zone 4 (12.5%),FF zone 11 (12.5%),FF zone 13 (12.5%)
"Kirby, George",L,3-1,FF zone 5 (16.0%),FF zone 11 (12.0%),SI zone 5 (12.0%),FF zone 1 (8.0%),FF zone 2 (8.0%)
"Kirby, George",L,3-2,FF zone 2 (9.09%),SL zone 14 (5.19%),SI zone 14 (5.19%),FF zone 8 (5.19%),FF zone 11 (5.19%)
"Kirby, George",R,0-0,SL zone 14 (8.33%),SI zone 11 (8.33%),SI zone 3 (7.92%),SI zone 12 (7.08%),SI zone 14 (5.83%)
"Kirby, George",R,0-1,SL zone 14 (20.45%),FF zone 12 (12.12%),SI zone 1 (9.09%),SI zone 11 (4.55%),SI zone 12 (3.79%)
"Kirby, George",R,0-2,SL zone 14 (24.24%),FF zone 12 (19.7%),FF zone 3 (9.09%),SI zone 12 (4.55%),SL zone 12 (4.55%)
"Kirby, George",R,1-0,SL zone 14 (12.66%),SI zone 14 (6.33%),SI zone 11 (6.33%),SI zone 4 (6.33%),SI zone 3 (5.06%)
"Kirby, George",R,1-1,SI zone 12 (9.18%),SL zone 14 (8.16%),FF zone 12 (8.16%),FF zone 3 (8.16%),SI zone 2 (7.14%)
"Kirby, George",R,1-2,SL zone 14 (25.25%),FF zone 12 (18.18%),FF zone 11 (8.08%),SL zone 9 (6.06%),SI zone 12 (5.05%)
"Kirby, George",R,2-0,FF zone 12 (17.65%),SI zone 12 (17.65%),SI zone 1 (11.76%),SI zone 9 (11.76%),SL zone 6 (11.76%)
"Kirby, George",R,2-1,SI zone 5 (12.5%),SI zone 2 (12.5%),SL zone 14 (12.5%),SI zone 6 (5.0%),SI zone 11 (5.0%)
"Kirby, George",R,2-2,SL zone 14 (18.84%),FF zone 12 (11.59%),SI zone 12 (7.25%),FF zone 3 (5.8%),FF zone 2 (5.8%)
"Kirby, George",R,3-0,FF zone 1 (20.0%),FF zone 2 (20.0%),FF zone 4 (20.0%),SI zone 4 (20.0%),SI zone 11 (20.0%)
"Kirby, George",R,3-1,FF zone 6 (13.33%),SI zone 6 (13.33%),SI zone 8 (13.33%),SI zone 11 (13.33%),FF zone 2 (6.67%)
"Kirby, George",R,3-2,FF zone 5 (9.26%),FF zone 11 (7.41%),FF zone 12 (7.41%),SI zone 1 (7.41%),SI zone 4 (5.56%)
