player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Lauer, Eric",L,0-0,FF zone 4 (10.26%),FF zone 5 (10.26%),FF zone 11 (10.26%),SL zone 8 (7.69%),SL zone 11 (5.13%)
"Lauer, Eric",L,0-1,SL zone 13 (8.33%),FF zone 11 (8.33%),SL zone 11 (8.33%),FC zone 7 (8.33%),FC zone 11 (8.33%)
"Lauer, Eric",L,0-2,CH zone 14 (16.67%),FC zone 13 (16.67%),FF zone 2 (16.67%),FF zone 4 (16.67%),SL zone 5 (16.67%)
"Lauer, Eric",L,1-0,SL zone 5 (16.67%),SL zone 7 (16.67%),CU zone 13 (8.33%),FC zone 11 (8.33%),FC zone 13 (8.33%)
"Lauer, Eric",L,1-1,CU zone 6 (12.5%),CU zone 14 (12.5%),SL zone 13 (12.5%),CU zone 13 (6.25%),FC zone 11 (6.25%)
"Lauer, Eric",L,1-2,FF zone 4 (33.33%),FC zone 11 (16.67%),FC zone 13 (16.67%),FF zone 11 (16.67%),FF zone 13 (16.67%)
"Lauer, Eric",L,2-0,FC zone 3 (25.0%),FC zone 4 (25.0%),FC zone 7 (25.0%),FF zone 13 (25.0%),
"Lauer, Eric",L,2-1,FC zone 4 (22.22%),FF zone 7 (11.11%),FF zone 11 (11.11%),SL zone 4 (11.11%),SL zone 5 (11.11%)
"Lauer, Eric",L,2-2,CH zone 13 (25.0%),CH zone 6 (12.5%),CU zone 6 (12.5%),FC zone 13 (12.5%),FF zone 11 (12.5%)
"Lauer, Eric",L,3-0,FF zone 1 (100.0%),,,,
"Lauer, Eric",L,3-1,FF zone 12 (50.0%),FF zone 13 (50.0%),,,
"Lauer, Eric",L,3-2,FC zone 7 (25.0%),FC zone 1 (12.5%),FC zone 13 (12.5%),FF zone 2 (12.5%),FF zone 4 (12.5%)
"Lauer, Eric",R,0-0,FF zone 12 (18.03%),FF zone 5 (6.56%),CU zone 13 (6.56%),CU zone 7 (4.92%),CU zone 8 (4.92%)
"Lauer, Eric",R,0-1,FF zone 12 (18.18%),CH zone 14 (9.09%),SL zone 13 (6.06%),CH zone 12 (6.06%),CH zone 13 (6.06%)
"Lauer, Eric",R,0-2,CH zone 14 (31.25%),FF zone 12 (25.0%),CU zone 13 (12.5%),FC zone 4 (6.25%),FF zone 3 (6.25%)
"Lauer, Eric",R,1-0,CU zone 12 (14.29%),FC zone 11 (9.52%),FF zone 3 (9.52%),FF zone 11 (9.52%),FF zone 12 (9.52%)
"Lauer, Eric",R,1-1,CH zone 12 (12.0%),FF zone 1 (8.0%),CH zone 13 (8.0%),FF zone 13 (4.0%),FF zone 12 (4.0%)
"Lauer, Eric",R,1-2,FF zone 12 (13.89%),SL zone 13 (8.33%),FF zone 2 (8.33%),SL zone 5 (8.33%),FF zone 11 (8.33%)
"Lauer, Eric",R,2-0,FF zone 3 (20.0%),CH zone 13 (10.0%),FC zone 4 (10.0%),FC zone 7 (10.0%),FC zone 12 (10.0%)
"Lauer, Eric",R,2-1,CH zone 14 (11.11%),CU zone 14 (11.11%),FC zone 3 (11.11%),FF zone 1 (11.11%),FF zone 2 (11.11%)
"Lauer, Eric",R,2-2,FF zone 2 (16.67%),CU zone 13 (8.33%),FF zone 12 (8.33%),FF zone 4 (8.33%),SL zone 13 (8.33%)
"Lauer, Eric",R,3-0,FF zone 2 (33.33%),FF zone 3 (33.33%),FF zone 6 (33.33%),,
"Lauer, Eric",R,3-1,CU zone 13 (16.67%),FC zone 3 (16.67%),FC zone 5 (16.67%),FC zone 12 (16.67%),FF zone 5 (16.67%)
"Lauer, Eric",R,3-2,FF zone 1 (20.0%),FF zone 11 (13.33%),CH zone 13 (6.67%),CU zone 8 (6.67%),CU zone 12 (6.67%)
