player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Pepiot, Ryan",L,0-0,FF zone 11 (8.2%),FF zone 2 (6.97%),FF zone 4 (6.56%),FF zone 12 (6.56%),FF zone 3 (5.33%)
"Pepiot, Ryan",L,0-1,FF zone 11 (11.2%),CH zone 13 (8.0%),CH zone 7 (6.4%),CH zone 11 (5.6%),CH zone 4 (4.8%)
"Pepiot, Ryan",L,0-2,CH zone 13 (31.51%),FF zone 11 (17.81%),FF zone 1 (9.59%),CH zone 11 (5.48%),CH zone 14 (5.48%)
"Pepiot, Ryan",L,1-0,FF zone 11 (10.64%),FF zone 5 (8.51%),FF zone 12 (4.26%),FF zone 14 (4.26%),CH zone 6 (4.26%)
"Pepiot, Ryan",L,1-1,CH zone 13 (7.84%),FF zone 11 (6.86%),CH zone 11 (6.86%),FF zone 5 (5.88%),CH zone 8 (5.88%)
"Pepiot, Ryan",L,1-2,CH zone 13 (23.85%),FF zone 11 (10.09%),FF zone 2 (7.34%),FF zone 12 (6.42%),CH zone 7 (4.59%)
"Pepiot, Ryan",L,2-0,FF zone 11 (24.0%),FF zone 5 (20.0%),FF zone 1 (12.0%),FC zone 6 (8.0%),CH zone 7 (4.0%)
"Pepiot, Ryan",L,2-1,CH zone 4 (8.89%),FF zone 12 (8.89%),FF zone 6 (6.67%),FF zone 11 (6.67%),FC zone 14 (6.67%)
"Pepiot, Ryan",L,2-2,CH zone 13 (13.79%),CH zone 4 (9.2%),FF zone 4 (8.05%),CH zone 11 (5.75%),FF zone 11 (4.6%)
"Pepiot, Ryan",L,3-0,FF zone 11 (44.44%),FF zone 4 (22.22%),FF zone 1 (11.11%),FF zone 2 (11.11%),FF zone 6 (11.11%)
"Pepiot, Ryan",L,3-1,FF zone 3 (15.79%),FF zone 11 (15.79%),FF zone 2 (10.53%),FF zone 5 (10.53%),FF zone 12 (10.53%)
"Pepiot, Ryan",L,3-2,FF zone 11 (14.58%),FF zone 12 (10.42%),FF zone 1 (10.42%),FF zone 2 (8.33%),FF zone 4 (6.25%)
"Pepiot, Ryan",R,0-0,FF zone 5 (6.92%),FF zone 12 (6.57%),FF zone 1 (5.88%),FF zone 11 (5.54%),FF zone 2 (4.84%)
"Pepiot, Ryan",R,0-1,SL zone 14 (8.51%),FF zone 11 (6.38%),CH zone 14 (5.67%),CU zone 14 (4.96%),CU zone 11 (4.26%)
"Pepiot, Ryan",R,0-2,FF zone 12 (18.92%),CH zone 14 (17.57%),CH zone 13 (14.86%),CU zone 14 (8.11%),FF zone 3 (8.11%)
"Pepiot, Ryan",R,1-0,FF zone 2 (7.84%),FF zone 12 (6.86%),FF zone 14 (5.88%),SL zone 5 (4.9%),FF zone 11 (4.9%)
"Pepiot, Ryan",R,1-1,CH zone 13 (8.41%),SL zone 14 (6.54%),FF zone 11 (6.54%),FF zone 5 (5.61%),CH zone 4 (5.61%)
"Pepiot, Ryan",R,1-2,FF zone 12 (18.42%),CH zone 14 (13.16%),SL zone 14 (7.02%),CH zone 13 (7.02%),FF zone 3 (6.14%)
"Pepiot, Ryan",R,2-0,FF zone 1 (12.9%),FF zone 14 (9.68%),SL zone 9 (9.68%),FF zone 4 (9.68%),FF zone 9 (6.45%)
"Pepiot, Ryan",R,2-1,CH zone 7 (8.0%),SL zone 11 (8.0%),FF zone 11 (6.0%),FF zone 6 (6.0%),SL zone 8 (6.0%)
"Pepiot, Ryan",R,2-2,SL zone 14 (9.09%),CH zone 13 (9.09%),CH zone 5 (6.36%),FF zone 12 (6.36%),CH zone 4 (5.45%)
"Pepiot, Ryan",R,3-0,FF zone 12 (50.0%),FF zone 2 (16.67%),FF zone 5 (16.67%),FF zone 9 (16.67%),
"Pepiot, Ryan",R,3-1,FF zone 6 (11.11%),FF zone 7 (11.11%),FF zone 9 (11.11%),FF zone 11 (11.11%),CH zone 14 (5.56%)
"Pepiot, Ryan",R,3-2,FF zone 5 (9.43%),FF zone 11 (9.43%),FF zone 9 (9.43%),FF zone 14 (5.66%),FF zone 4 (5.66%)
