player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Peralta, Freddy",L,0-0,FF zone 11 (12.57%),CH zone 13 (9.71%),FF zone 12 (9.14%),FF zone 2 (6.86%),FF zone 5 (6.29%)
"Peralta, Freddy",L,0-1,CH zone 13 (12.94%),FF zone 11 (12.94%),FF zone 12 (10.59%),CH zone 14 (7.06%),FF zone 1 (5.88%)
"Peralta, Freddy",L,0-2,FF zone 11 (32.61%),FF zone 12 (15.22%),CH zone 13 (13.04%),CU zone 13 (13.04%),CU zone 14 (4.35%)
"Peralta, Freddy",L,1-0,CH zone 13 (18.67%),CH zone 14 (9.33%),FF zone 2 (9.33%),FF zone 4 (6.67%),FF zone 11 (6.67%)
"Peralta, Freddy",L,1-1,FF zone 11 (21.88%),FF zone 12 (9.38%),CH zone 13 (7.81%),CH zone 14 (7.81%),FF zone 5 (7.81%)
"Peralta, Freddy",L,1-2,FF zone 11 (27.54%),CH zone 13 (13.04%),CU zone 14 (13.04%),FF zone 12 (8.7%),CU zone 13 (8.7%)
"Peralta, Freddy",L,2-0,CH zone 14 (12.9%),FF zone 1 (12.9%),CH zone 4 (9.68%),FF zone 11 (9.68%),FF zone 7 (9.68%)
"Peralta, Freddy",L,2-1,FF zone 5 (15.62%),FF zone 13 (9.38%),FF zone 12 (9.38%),CH zone 14 (9.38%),FF zone 11 (9.38%)
"Peralta, Freddy",L,2-2,FF zone 11 (18.52%),CH zone 13 (9.88%),CU zone 14 (7.41%),FF zone 2 (6.17%),CU zone 13 (6.17%)
"Peralta, Freddy",L,3-0,FF zone 11 (27.27%),FF zone 13 (27.27%),CU zone 8 (9.09%),FF zone 2 (9.09%),FF zone 4 (9.09%)
"Peralta, Freddy",L,3-1,FF zone 6 (23.53%),CH zone 8 (11.76%),FF zone 3 (11.76%),CH zone 4 (5.88%),CH zone 9 (5.88%)
"Peralta, Freddy",L,3-2,FF zone 11 (16.67%),FF zone 6 (11.9%),FF zone 4 (7.14%),FF zone 12 (7.14%),FF zone 2 (4.76%)
"Peralta, Freddy",R,0-0,FF zone 14 (9.03%),FF zone 13 (7.64%),FF zone 11 (6.94%),FF zone 9 (5.56%),FF zone 2 (5.56%)
"Peralta, Freddy",R,0-1,SL zone 14 (22.37%),FF zone 11 (11.84%),FF zone 13 (9.21%),CU zone 14 (5.26%),FF zone 1 (5.26%)
"Peralta, Freddy",R,0-2,FF zone 11 (20.51%),FF zone 12 (20.51%),SL zone 14 (12.82%),CU zone 14 (10.26%),CU zone 13 (7.69%)
"Peralta, Freddy",R,1-0,FF zone 11 (10.91%),SL zone 14 (9.09%),FF zone 9 (7.27%),FF zone 13 (7.27%),CH zone 13 (5.45%)
"Peralta, Freddy",R,1-1,FF zone 11 (12.73%),CU zone 14 (12.73%),SL zone 14 (10.91%),FF zone 13 (7.27%),FF zone 4 (7.27%)
"Peralta, Freddy",R,1-2,CU zone 14 (15.52%),FF zone 12 (13.79%),FF zone 11 (12.07%),SL zone 14 (10.34%),CH zone 13 (6.9%)
"Peralta, Freddy",R,2-0,FF zone 13 (25.0%),CH zone 13 (16.67%),FF zone 8 (12.5%),FF zone 4 (8.33%),FF zone 5 (8.33%)
"Peralta, Freddy",R,2-1,FF zone 12 (15.15%),CH zone 13 (12.12%),FF zone 14 (12.12%),FF zone 4 (9.09%),FF zone 5 (9.09%)
"Peralta, Freddy",R,2-2,FF zone 11 (21.05%),CH zone 13 (15.79%),CU zone 14 (12.28%),FF zone 12 (8.77%),FF zone 2 (7.02%)
"Peralta, Freddy",R,3-0,CH zone 11 (16.67%),FF zone 1 (16.67%),FF zone 3 (16.67%),FF zone 4 (16.67%),FF zone 9 (16.67%)
"Peralta, Freddy",R,3-1,CH zone 13 (11.76%),FF zone 5 (11.76%),FF zone 8 (11.76%),FF zone 12 (11.76%),CU zone 4 (5.88%)
"Peralta, Freddy",R,3-2,FF zone 4 (14.29%),FF zone 1 (11.9%),FF zone 12 (7.14%),FF zone 11 (7.14%),FF zone 6 (7.14%)
