player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Pivetta, Nick",L,0-0,FF zone 11 (9.13%),CU zone 11 (6.64%),CU zone 5 (6.22%),FF zone 5 (6.22%),CU zone 14 (6.22%)
"Pivetta, Nick",L,0-1,FF zone 12 (13.77%),FF zone 11 (9.42%),CU zone 13 (7.97%),FF zone 2 (5.8%),CU zone 14 (5.07%)
"Pivetta, Nick",L,0-2,CU zone 13 (18.92%),CU zone 14 (14.86%),FF zone 11 (13.51%),FF zone 2 (10.81%),FF zone 12 (10.81%)
"Pivetta, Nick",L,1-0,FF zone 11 (13.7%),FF zone 12 (9.59%),CU zone 11 (8.22%),CU zone 13 (6.85%),CU zone 6 (5.48%)
"Pivetta, Nick",L,1-1,FF zone 12 (18.56%),FF zone 11 (10.31%),CU zone 7 (7.22%),FF zone 2 (6.19%),CU zone 8 (6.19%)
"Pivetta, Nick",L,1-2,FF zone 12 (15.18%),CU zone 13 (12.5%),FF zone 11 (8.04%),FF zone 2 (6.25%),FF zone 6 (6.25%)
"Pivetta, Nick",L,2-0,FF zone 12 (10.0%),FF zone 11 (10.0%),FF zone 5 (10.0%),FF zone 3 (6.67%),CU zone 11 (6.67%)
"Pivetta, Nick",L,2-1,FF zone 11 (11.11%),FF zone 2 (11.11%),CU zone 7 (7.41%),CU zone 11 (7.41%),CU zone 1 (5.56%)
"Pivetta, Nick",L,2-2,CU zone 14 (10.14%),FF zone 11 (8.7%),CU zone 7 (7.25%),FF zone 6 (5.8%),CU zone 13 (5.8%)
"Pivetta, Nick",L,3-0,FF zone 11 (30.0%),FF zone 2 (20.0%),FF zone 1 (10.0%),FF zone 4 (10.0%),FF zone 5 (10.0%)
"Pivetta, Nick",L,3-1,FF zone 11 (20.0%),FF zone 2 (15.0%),FC zone 1 (10.0%),FF zone 1 (10.0%),FF zone 3 (10.0%)
"Pivetta, Nick",L,3-2,FF zone 11 (9.52%),CU zone 9 (7.14%),FF zone 12 (7.14%),FF zone 2 (7.14%),FF zone 5 (7.14%)
"Pivetta, Nick",R,0-0,ST zone 14 (12.86%),FF zone 12 (6.64%),FF zone 14 (6.22%),ST zone 6 (4.98%),FF zone 11 (4.56%)
"Pivetta, Nick",R,0-1,ST zone 14 (16.81%),FF zone 11 (8.85%),ST zone 12 (7.08%),FC zone 14 (4.42%),FF zone 2 (4.42%)
"Pivetta, Nick",R,0-2,FF zone 11 (19.15%),FF zone 12 (17.02%),ST zone 12 (12.77%),ST zone 14 (10.64%),FF zone 2 (6.38%)
"Pivetta, Nick",R,1-0,FF zone 12 (8.0%),ST zone 14 (7.0%),FC zone 14 (6.0%),ST zone 12 (5.0%),ST zone 6 (5.0%)
"Pivetta, Nick",R,1-1,FF zone 11 (13.27%),FF zone 12 (7.14%),ST zone 14 (6.12%),FF zone 1 (5.1%),FF zone 2 (5.1%)
"Pivetta, Nick",R,1-2,FF zone 12 (14.63%),FF zone 11 (14.63%),ST zone 12 (13.41%),ST zone 14 (6.1%),ST zone 6 (6.1%)
"Pivetta, Nick",R,2-0,FC zone 5 (9.68%),FC zone 12 (9.68%),FC zone 14 (9.68%),FF zone 5 (9.68%),ST zone 9 (6.45%)
"Pivetta, Nick",R,2-1,FF zone 11 (16.0%),ST zone 2 (8.0%),ST zone 14 (6.0%),FC zone 14 (6.0%),FF zone 9 (6.0%)
"Pivetta, Nick",R,2-2,ST zone 14 (15.79%),FF zone 2 (9.21%),ST zone 12 (9.21%),FF zone 6 (6.58%),FF zone 11 (6.58%)
"Pivetta, Nick",R,3-0,FF zone 2 (22.22%),FF zone 12 (22.22%),FC zone 3 (11.11%),FF zone 5 (11.11%),FF zone 6 (11.11%)
"Pivetta, Nick",R,3-1,FF zone 6 (8.33%),FF zone 11 (8.33%),FF zone 3 (8.33%),FF zone 5 (8.33%),FC zone 3 (8.33%)
"Pivetta, Nick",R,3-2,FF zone 6 (10.87%),FF zone 12 (8.7%),ST zone 9 (8.7%),FF zone 2 (6.52%),FF zone 3 (6.52%)
