player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Priester, Quinn",L,0-0,SI zone 11 (8.47%),FC zone 11 (5.93%),SI zone 5 (5.08%),SI zone 1 (4.24%),SI zone 14 (4.24%)
"Priester, Quinn",L,0-1,FC zone 11 (7.55%),SI zone 7 (7.55%),SI zone 8 (7.55%),SI zone 14 (7.55%),SI zone 11 (5.66%)
"Priester, Quinn",L,0-2,CU zone 13 (14.81%),FC zone 11 (7.41%),SL zone 13 (7.41%),SI zone 11 (7.41%),FC zone 12 (7.41%)
"Priester, Quinn",L,1-0,SL zone 14 (11.32%),SI zone 11 (7.55%),FC zone 2 (5.66%),FC zone 14 (5.66%),SI zone 5 (5.66%)
"Priester, Quinn",L,1-1,SI zone 9 (11.9%),FC zone 11 (11.9%),CU zone 14 (7.14%),CH zone 14 (4.76%),FC zone 2 (4.76%)
"Priester, Quinn",L,1-2,CU zone 13 (11.36%),CU zone 14 (11.36%),SL zone 14 (9.09%),SI zone 13 (9.09%),SL zone 13 (6.82%)
"Priester, Quinn",L,2-0,SI zone 5 (18.18%),SI zone 2 (13.64%),SI zone 13 (13.64%),SI zone 6 (9.09%),FC zone 4 (4.55%)
"Priester, Quinn",L,2-1,SI zone 11 (12.0%),SI zone 8 (8.0%),SI zone 6 (8.0%),SL zone 4 (8.0%),SI zone 14 (8.0%)
"Priester, Quinn",L,2-2,SL zone 14 (10.87%),CU zone 13 (8.7%),CU zone 14 (8.7%),SI zone 13 (6.52%),FC zone 11 (6.52%)
"Priester, Quinn",L,3-0,FC zone 11 (20.0%),FC zone 14 (20.0%),SI zone 1 (20.0%),SI zone 5 (20.0%),SI zone 6 (20.0%)
"Priester, Quinn",L,3-1,FC zone 6 (18.18%),SI zone 5 (18.18%),SI zone 11 (18.18%),SI zone 13 (18.18%),FC zone 9 (9.09%)
"Priester, Quinn",L,3-2,SI zone 8 (8.7%),FC zone 12 (8.7%),SI zone 14 (8.7%),SL zone 14 (8.7%),FC zone 9 (4.35%)
"Priester, Quinn",R,0-0,SL zone 14 (12.77%),SI zone 5 (12.06%),SI zone 14 (6.38%),SI zone 11 (6.38%),SI zone 4 (5.67%)
"Priester, Quinn",R,0-1,SL zone 14 (20.55%),SI zone 14 (9.59%),SI zone 13 (5.48%),SI zone 12 (5.48%),SI zone 6 (5.48%)
"Priester, Quinn",R,0-2,SL zone 14 (59.52%),FC zone 11 (4.76%),SI zone 3 (4.76%),SI zone 8 (4.76%),SI zone 14 (4.76%)
"Priester, Quinn",R,1-0,SL zone 14 (17.39%),SI zone 14 (15.22%),SL zone 8 (8.7%),SI zone 5 (8.7%),SI zone 8 (8.7%)
"Priester, Quinn",R,1-1,SL zone 14 (22.22%),SL zone 9 (12.96%),SI zone 14 (11.11%),SI zone 2 (5.56%),SI zone 5 (5.56%)
"Priester, Quinn",R,1-2,SL zone 14 (40.0%),FC zone 12 (18.0%),SI zone 12 (8.0%),SI zone 4 (6.0%),SL zone 8 (6.0%)
"Priester, Quinn",R,2-0,FC zone 14 (18.75%),SI zone 6 (12.5%),SI zone 9 (12.5%),SI zone 11 (12.5%),SI zone 2 (6.25%)
"Priester, Quinn",R,2-1,SI zone 14 (21.43%),SL zone 9 (10.71%),SL zone 14 (10.71%),SI zone 5 (7.14%),SI zone 6 (7.14%)
"Priester, Quinn",R,2-2,SL zone 14 (19.05%),SI zone 14 (9.52%),SI zone 2 (7.14%),SI zone 11 (7.14%),SI zone 5 (7.14%)
"Priester, Quinn",R,3-0,FC zone 12 (20.0%),SI zone 4 (20.0%),SI zone 7 (20.0%),SI zone 12 (20.0%),SI zone 14 (20.0%)
"Priester, Quinn",R,3-1,SI zone 9 (30.0%),SI zone 14 (30.0%),SI zone 5 (10.0%),SI zone 8 (10.0%),SL zone 6 (10.0%)
"Priester, Quinn",R,3-2,SL zone 8 (25.0%),SI zone 11 (12.5%),SL zone 12 (12.5%),SL zone 14 (12.5%),FC zone 3 (6.25%)
