player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Quantrill, Cal",L,0-0,FF zone 11 (10.99%),CU zone 13 (6.04%),FC zone 1 (6.04%),FC zone 11 (5.49%),FC zone 5 (4.95%)
"Quantrill, Cal",L,0-1,FS zone 13 (21.18%),FS zone 11 (12.94%),FS zone 14 (5.88%),FS zone 7 (4.71%),CU zone 13 (4.71%)
"Quantrill, Cal",L,0-2,FS zone 13 (39.39%),FF zone 11 (12.12%),CU zone 13 (9.09%),FC zone 11 (9.09%),FF zone 12 (9.09%)
"Quantrill, Cal",L,1-0,FC zone 11 (7.59%),FS zone 11 (6.33%),SI zone 13 (5.06%),FC zone 5 (5.06%),FS zone 13 (5.06%)
"Quantrill, Cal",L,1-1,FS zone 13 (13.33%),FS zone 11 (11.11%),FC zone 2 (7.78%),FS zone 8 (4.44%),FS zone 4 (4.44%)
"Quantrill, Cal",L,1-2,FS zone 13 (28.21%),FF zone 11 (8.97%),FS zone 11 (8.97%),CU zone 13 (6.41%),FF zone 12 (3.85%)
"Quantrill, Cal",L,2-0,FC zone 11 (13.04%),FC zone 1 (8.7%),FC zone 4 (8.7%),FC zone 5 (8.7%),FC zone 6 (8.7%)
"Quantrill, Cal",L,2-1,FF zone 11 (9.8%),SI zone 13 (5.88%),FC zone 5 (5.88%),FS zone 13 (5.88%),FC zone 12 (3.92%)
"Quantrill, Cal",L,2-2,FS zone 13 (13.75%),FF zone 11 (10.0%),FC zone 11 (8.75%),FC zone 12 (8.75%),FS zone 11 (7.5%)
"Quantrill, Cal",L,3-0,SI zone 11 (40.0%),FC zone 5 (20.0%),FF zone 1 (20.0%),FF zone 5 (20.0%),
"Quantrill, Cal",L,3-1,FC zone 4 (25.0%),FC zone 8 (12.5%),CU zone 4 (6.25%),FC zone 1 (6.25%),FC zone 11 (6.25%)
"Quantrill, Cal",L,3-2,FF zone 11 (8.47%),FC zone 11 (8.47%),FF zone 4 (6.78%),FC zone 14 (5.08%),FC zone 1 (5.08%)
"Quantrill, Cal",R,0-0,FF zone 11 (9.52%),SL zone 14 (6.19%),SI zone 11 (4.29%),FC zone 5 (3.81%),SI zone 4 (3.33%)
"Quantrill, Cal",R,0-1,SL zone 14 (8.85%),CU zone 14 (7.08%),FS zone 13 (6.19%),CU zone 13 (6.19%),FF zone 11 (4.42%)
"Quantrill, Cal",R,0-2,FF zone 11 (20.37%),SL zone 14 (16.67%),FF zone 12 (11.11%),FS zone 13 (11.11%),FS zone 11 (7.41%)
"Quantrill, Cal",R,1-0,SI zone 5 (8.0%),SI zone 4 (5.33%),FF zone 11 (5.33%),SI zone 7 (4.0%),FF zone 4 (4.0%)
"Quantrill, Cal",R,1-1,FS zone 13 (11.54%),CU zone 14 (6.41%),FS zone 11 (5.13%),FF zone 11 (5.13%),SL zone 14 (3.85%)
"Quantrill, Cal",R,1-2,CU zone 14 (14.1%),FF zone 11 (11.54%),SL zone 14 (8.97%),FS zone 11 (7.69%),FS zone 14 (6.41%)
"Quantrill, Cal",R,2-0,FF zone 11 (14.29%),FC zone 9 (9.52%),FC zone 11 (9.52%),FC zone 1 (4.76%),SI zone 4 (4.76%)
"Quantrill, Cal",R,2-1,SI zone 11 (7.89%),FC zone 8 (7.89%),SL zone 9 (5.26%),FC zone 6 (5.26%),FC zone 11 (5.26%)
"Quantrill, Cal",R,2-2,FF zone 11 (10.29%),FS zone 11 (8.82%),FS zone 13 (7.35%),FF zone 5 (5.88%),SL zone 14 (4.41%)
"Quantrill, Cal",R,3-0,FC zone 2 (25.0%),FF zone 6 (25.0%),FF zone 8 (25.0%),SI zone 4 (25.0%),
"Quantrill, Cal",R,3-1,FC zone 1 (23.08%),SI zone 11 (15.38%),SI zone 13 (15.38%),FC zone 5 (7.69%),FC zone 7 (7.69%)
"Quantrill, Cal",R,3-2,FF zone 11 (9.3%),SI zone 11 (6.98%),SL zone 11 (6.98%),FF zone 13 (4.65%),SL zone 4 (4.65%)
