player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Quintana, Jose",L,0-0,SV zone 13 (14.89%),SI zone 5 (12.77%),SI zone 6 (10.64%),SI zone 12 (8.51%),SI zone 2 (8.51%)
"Quintana, Jose",L,0-1,SV zone 13 (26.92%),SI zone 11 (15.38%),SI zone 4 (11.54%),SV zone 7 (11.54%),SI zone 2 (7.69%)
"Quintana, Jose",L,0-2,FF zone 11 (18.18%),SI zone 11 (18.18%),SI zone 13 (18.18%),CH zone 14 (9.09%),SI zone 5 (9.09%)
"Quintana, Jose",L,1-0,SI zone 1 (14.29%),SI zone 3 (14.29%),SV zone 4 (14.29%),SI zone 2 (7.14%),SI zone 4 (7.14%)
"Quintana, Jose",L,1-1,SI zone 1 (20.0%),SI zone 13 (20.0%),SI zone 8 (10.0%),SI zone 12 (10.0%),SV zone 4 (10.0%)
"Quintana, Jose",L,1-2,SV zone 13 (50.0%),FF zone 11 (12.5%),CH zone 5 (6.25%),FF zone 2 (6.25%),FF zone 12 (6.25%)
"Quintana, Jose",L,2-0,SI zone 1 (25.0%),SI zone 3 (25.0%),SI zone 7 (25.0%),SI zone 8 (25.0%),
"Quintana, Jose",L,2-1,SI zone 5 (16.67%),SI zone 7 (16.67%),SV zone 13 (16.67%),SI zone 2 (8.33%),SI zone 3 (8.33%)
"Quintana, Jose",L,2-2,SV zone 13 (28.57%),SI zone 4 (14.29%),SI zone 13 (14.29%),CH zone 13 (7.14%),CH zone 14 (7.14%)
"Quintana, Jose",L,3-1,SI zone 3 (40.0%),SI zone 2 (20.0%),SI zone 7 (20.0%),SI zone 9 (20.0%),
"Quintana, Jose",L,3-2,SI zone 4 (21.43%),SI zone 6 (14.29%),SV zone 13 (14.29%),FF zone 1 (7.14%),FF zone 12 (7.14%)
"Quintana, Jose",R,0-0,SI zone 14 (11.68%),CH zone 14 (11.68%),SI zone 12 (9.49%),SI zone 6 (5.11%),SI zone 5 (4.38%)
"Quintana, Jose",R,0-1,CH zone 14 (28.07%),CU zone 14 (8.77%),CH zone 9 (7.02%),SI zone 6 (7.02%),CH zone 13 (5.26%)
"Quintana, Jose",R,0-2,CH zone 14 (42.86%),CU zone 14 (14.29%),FF zone 11 (10.71%),FF zone 12 (7.14%),SI zone 6 (7.14%)
"Quintana, Jose",R,1-0,CH zone 14 (19.05%),SI zone 12 (7.94%),CU zone 14 (6.35%),SI zone 8 (6.35%),SI zone 6 (6.35%)
"Quintana, Jose",R,1-1,CH zone 14 (17.02%),FF zone 11 (12.77%),CH zone 9 (8.51%),SI zone 9 (6.38%),SI zone 8 (6.38%)
"Quintana, Jose",R,1-2,CH zone 14 (28.57%),CU zone 14 (16.33%),SI zone 14 (8.16%),FF zone 11 (6.12%),CH zone 13 (6.12%)
"Quintana, Jose",R,2-0,SI zone 14 (17.86%),SI zone 5 (14.29%),SI zone 12 (7.14%),SI zone 8 (7.14%),CH zone 6 (3.57%)
"Quintana, Jose",R,2-1,SI zone 9 (10.0%),CH zone 13 (10.0%),CU zone 13 (10.0%),CU zone 14 (10.0%),CH zone 14 (6.67%)
"Quintana, Jose",R,2-2,CH zone 14 (10.26%),CU zone 13 (10.26%),CU zone 14 (10.26%),SI zone 12 (10.26%),SI zone 14 (7.69%)
"Quintana, Jose",R,3-0,SI zone 14 (36.36%),SI zone 5 (18.18%),FF zone 5 (9.09%),SI zone 1 (9.09%),SI zone 6 (9.09%)
"Quintana, Jose",R,3-1,SI zone 5 (13.33%),SI zone 9 (13.33%),CH zone 7 (6.67%),CH zone 8 (6.67%),CU zone 4 (6.67%)
"Quintana, Jose",R,3-2,SI zone 4 (14.71%),SI zone 12 (11.76%),SI zone 14 (8.82%),CH zone 14 (8.82%),SI zone 2 (5.88%)
