player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Romero, JoJo",L,0-0,SL zone 13 (12.38%),SL zone 7 (8.57%),SI zone 12 (7.62%),SI zone 11 (6.67%),SL zone 12 (6.67%)
"Romero, JoJo",L,0-1,SL zone 13 (22.0%),SL zone 7 (10.0%),SI zone 6 (8.0%),SI zone 13 (8.0%),SI zone 2 (8.0%)
"Romero, JoJo",L,0-2,SL zone 13 (42.86%),SI zone 5 (7.14%),SL zone 1 (7.14%),SL zone 7 (7.14%),FF zone 11 (3.57%)
"Romero, JoJo",L,1-0,SL zone 13 (18.18%),SL zone 4 (11.36%),SI zone 13 (9.09%),SL zone 14 (6.82%),SI zone 6 (6.82%)
"Romero, JoJo",L,1-1,SL zone 13 (15.38%),SI zone 8 (12.82%),SI zone 13 (12.82%),SI zone 5 (10.26%),SL zone 5 (10.26%)
"Romero, JoJo",L,1-2,SL zone 13 (41.86%),SL zone 5 (9.3%),SL zone 4 (6.98%),SL zone 7 (6.98%),FF zone 11 (4.65%)
"Romero, JoJo",L,2-0,SL zone 6 (23.08%),SI zone 13 (15.38%),SL zone 8 (15.38%),FF zone 13 (7.69%),SI zone 3 (7.69%)
"Romero, JoJo",L,2-1,SL zone 13 (33.33%),SI zone 4 (11.11%),SI zone 8 (11.11%),SL zone 8 (11.11%),SI zone 6 (5.56%)
"Romero, JoJo",L,2-2,SL zone 13 (46.88%),SI zone 7 (6.25%),SI zone 13 (6.25%),SL zone 4 (6.25%),SL zone 7 (6.25%)
"Romero, JoJo",L,3-0,SI zone 12 (50.0%),SI zone 1 (25.0%),SL zone 8 (25.0%),,
"Romero, JoJo",L,3-1,SI zone 8 (25.0%),SI zone 11 (12.5%),SI zone 12 (12.5%),SI zone 14 (12.5%),SL zone 7 (12.5%)
"Romero, JoJo",L,3-2,SL zone 13 (21.05%),SI zone 6 (10.53%),SI zone 11 (10.53%),SI zone 2 (5.26%),SI zone 5 (5.26%)
"Romero, JoJo",R,0-0,SI zone 12 (8.78%),CH zone 13 (7.43%),CH zone 14 (6.08%),SI zone 3 (4.73%),SL zone 8 (4.73%)
"Romero, JoJo",R,0-1,CH zone 14 (28.21%),CH zone 13 (10.26%),CH zone 9 (8.97%),CH zone 8 (5.13%),SL zone 14 (3.85%)
"Romero, JoJo",R,0-2,CH zone 14 (33.33%),CH zone 13 (11.11%),CH zone 8 (7.41%),CH zone 12 (7.41%),FF zone 11 (7.41%)
"Romero, JoJo",R,1-0,CH zone 14 (17.54%),CH zone 13 (8.77%),SI zone 4 (7.02%),SL zone 8 (5.26%),SI zone 12 (5.26%)
"Romero, JoJo",R,1-1,CH zone 14 (29.03%),CH zone 13 (11.29%),CH zone 8 (9.68%),SI zone 8 (4.84%),SL zone 6 (4.84%)
"Romero, JoJo",R,1-2,FF zone 11 (23.4%),CH zone 14 (10.64%),CH zone 13 (8.51%),SL zone 13 (8.51%),CH zone 12 (6.38%)
"Romero, JoJo",R,2-0,SI zone 14 (16.67%),SI zone 12 (11.11%),SL zone 6 (11.11%),SL zone 12 (11.11%),CH zone 9 (5.56%)
"Romero, JoJo",R,2-1,SI zone 4 (10.81%),CH zone 14 (10.81%),SI zone 5 (10.81%),SL zone 13 (8.11%),CH zone 13 (8.11%)
"Romero, JoJo",R,2-2,CH zone 14 (21.15%),SL zone 13 (13.46%),CH zone 9 (7.69%),SL zone 14 (7.69%),SL zone 5 (7.69%)
"Romero, JoJo",R,3-0,SI zone 4 (33.33%),SI zone 7 (33.33%),SI zone 14 (33.33%),,
"Romero, JoJo",R,3-1,SI zone 2 (13.33%),SI zone 5 (13.33%),CH zone 6 (6.67%),CH zone 7 (6.67%),CH zone 14 (6.67%)
"Romero, JoJo",R,3-2,CH zone 14 (14.29%),SL zone 13 (7.14%),SL zone 8 (7.14%),SL zone 5 (7.14%),SL zone 14 (4.76%)
