player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Snell, Blake",L,0-0,SL zone 13 (23.21%),FF zone 11 (12.5%),FF zone 4 (7.14%),SL zone 4 (7.14%),FF zone 12 (7.14%)
"Snell, Blake",L,0-1,SL zone 13 (29.63%),CU zone 13 (22.22%),FF zone 12 (7.41%),CH zone 14 (3.7%),CU zone 1 (3.7%)
"Snell, Blake",L,0-2,SL zone 13 (38.46%),CU zone 13 (30.77%),FF zone 1 (15.38%),FF zone 12 (7.69%),SL zone 7 (7.69%)
"Snell, Blake",L,1-0,FF zone 1 (20.0%),FF zone 6 (8.0%),FF zone 7 (8.0%),FF zone 13 (8.0%),SL zone 2 (8.0%)
"Snell, Blake",L,1-1,SL zone 7 (18.18%),SL zone 13 (18.18%),CU zone 13 (9.09%),FF zone 1 (6.06%),FF zone 4 (6.06%)
"Snell, Blake",L,1-2,SL zone 13 (32.0%),CU zone 13 (12.0%),FF zone 2 (12.0%),CU zone 8 (8.0%),FF zone 11 (8.0%)
"Snell, Blake",L,2-0,FF zone 7 (20.0%),FF zone 13 (20.0%),SL zone 1 (20.0%),SL zone 4 (20.0%),SL zone 8 (20.0%)
"Snell, Blake",L,2-1,FF zone 2 (14.29%),FF zone 14 (14.29%),CU zone 2 (7.14%),CU zone 6 (7.14%),CU zone 8 (7.14%)
"Snell, Blake",L,2-2,SL zone 13 (18.52%),FF zone 11 (11.11%),FF zone 12 (11.11%),CU zone 8 (7.41%),CU zone 13 (7.41%)
"Snell, Blake",L,3-0,FF zone 8 (100.0%),,,,
"Snell, Blake",L,3-1,CH zone 14 (25.0%),FF zone 2 (25.0%),FF zone 14 (25.0%),SL zone 13 (25.0%),
"Snell, Blake",L,3-2,FF zone 2 (23.08%),FF zone 1 (15.38%),FF zone 5 (15.38%),FF zone 12 (15.38%),CU zone 5 (7.69%)
"Snell, Blake",R,0-0,CH zone 14 (12.0%),FF zone 12 (8.0%),FF zone 11 (8.0%),FF zone 4 (6.5%),FF zone 3 (6.0%)
"Snell, Blake",R,0-1,CH zone 14 (16.67%),FF zone 12 (14.81%),CU zone 13 (7.41%),FF zone 11 (6.48%),CH zone 12 (4.63%)
"Snell, Blake",R,0-2,CU zone 13 (35.56%),FF zone 12 (22.22%),CH zone 14 (6.67%),CU zone 14 (6.67%),CU zone 8 (4.44%)
"Snell, Blake",R,1-0,CH zone 14 (11.76%),FF zone 12 (8.82%),FF zone 11 (8.82%),CH zone 6 (5.88%),CH zone 8 (5.88%)
"Snell, Blake",R,1-1,CH zone 14 (16.85%),FF zone 12 (8.99%),FF zone 1 (7.87%),SL zone 13 (7.87%),FF zone 11 (6.74%)
"Snell, Blake",R,1-2,CU zone 13 (26.76%),CH zone 14 (15.49%),FF zone 12 (14.08%),CU zone 14 (9.86%),FF zone 11 (4.23%)
"Snell, Blake",R,2-0,CH zone 14 (30.43%),CH zone 8 (13.04%),CH zone 3 (8.7%),CH zone 6 (8.7%),CU zone 8 (8.7%)
"Snell, Blake",R,2-1,CH zone 14 (16.0%),FF zone 11 (10.0%),CU zone 8 (8.0%),CH zone 6 (8.0%),CU zone 13 (6.0%)
"Snell, Blake",R,2-2,CU zone 13 (25.0%),CH zone 14 (15.62%),FF zone 11 (7.81%),SL zone 13 (6.25%),FF zone 12 (6.25%)
"Snell, Blake",R,3-0,CH zone 6 (20.0%),CH zone 14 (20.0%),FF zone 2 (20.0%),FF zone 6 (20.0%),FF zone 12 (20.0%)
"Snell, Blake",R,3-1,CH zone 8 (30.0%),CH zone 14 (10.0%),CH zone 9 (5.0%),CH zone 12 (5.0%),CU zone 3 (5.0%)
"Snell, Blake",R,3-2,CH zone 14 (16.67%),FF zone 2 (7.14%),CH zone 9 (7.14%),FF zone 14 (7.14%),CU zone 13 (7.14%)
