player_name,stand,count,most_likely,second_most_likely,third_most_likely,fourth_most_likely,fifth_most_likely
"Yamamoto, Yoshinobu",L,0-0,FF zone 13 (11.19%),FF zone 11 (8.96%),FS zone 13 (8.96%),FF zone 4 (7.46%),CU zone 14 (6.72%)
"Yamamoto, Yoshinobu",L,0-1,FS zone 13 (30.0%),FF zone 11 (5.71%),FF zone 13 (5.71%),FF zone 4 (4.29%),FS zone 8 (4.29%)
"Yamamoto, Yoshinobu",L,0-2,FS zone 13 (30.3%),FS zone 8 (9.09%),FS zone 11 (9.09%),FS zone 14 (9.09%),FF zone 11 (6.06%)
"Yamamoto, Yoshinobu",L,1-0,FF zone 7 (13.46%),FS zone 13 (11.54%),CU zone 7 (7.69%),CU zone 13 (7.69%),FF zone 5 (5.77%)
"Yamamoto, Yoshinobu",L,1-1,FS zone 13 (15.87%),FS zone 14 (9.52%),FF zone 11 (9.52%),FF zone 13 (7.94%),FS zone 7 (6.35%)
"Yamamoto, Yoshinobu",L,1-2,FS zone 13 (27.66%),FF zone 11 (10.64%),FS zone 11 (8.51%),FS zone 7 (8.51%),FS zone 14 (4.26%)
"Yamamoto, Yoshinobu",L,2-0,FF zone 4 (18.75%),FF zone 11 (18.75%),FF zone 13 (12.5%),CU zone 1 (6.25%),CU zone 4 (6.25%)
"Yamamoto, Yoshinobu",L,2-1,FC zone 14 (17.5%),FF zone 13 (10.0%),FF zone 4 (10.0%),CU zone 9 (7.5%),FF zone 5 (7.5%)
"Yamamoto, Yoshinobu",L,2-2,FS zone 13 (25.0%),FS zone 7 (15.38%),FF zone 2 (5.77%),FF zone 13 (5.77%),FF zone 7 (3.85%)
"Yamamoto, Yoshinobu",L,3-0,FF zone 4 (33.33%),FF zone 1 (16.67%),FF zone 7 (16.67%),FF zone 8 (16.67%),FF zone 11 (16.67%)
"Yamamoto, Yoshinobu",L,3-1,FF zone 7 (25.0%),FC zone 9 (12.5%),FF zone 8 (12.5%),CU zone 7 (6.25%),CU zone 11 (6.25%)
"Yamamoto, Yoshinobu",L,3-2,CU zone 14 (14.29%),FF zone 8 (11.43%),FS zone 13 (8.57%),FF zone 11 (5.71%),CU zone 8 (5.71%)
"Yamamoto, Yoshinobu",R,0-0,FF zone 14 (17.54%),FF zone 6 (9.65%),FC zone 14 (8.77%),FF zone 9 (7.89%),CU zone 14 (6.14%)
"Yamamoto, Yoshinobu",R,0-1,FS zone 13 (15.38%),FS zone 14 (11.54%),SI zone 7 (9.62%),SI zone 13 (7.69%),FF zone 9 (5.77%)
"Yamamoto, Yoshinobu",R,0-2,FS zone 13 (24.14%),FF zone 11 (17.24%),FS zone 14 (17.24%),CU zone 14 (6.9%),FF zone 12 (6.9%)
"Yamamoto, Yoshinobu",R,1-0,CU zone 14 (13.73%),FC zone 14 (11.76%),FF zone 14 (9.8%),FC zone 6 (7.84%),FF zone 9 (7.84%)
"Yamamoto, Yoshinobu",R,1-1,SI zone 13 (14.63%),FS zone 14 (12.2%),CU zone 14 (12.2%),FF zone 2 (7.32%),FS zone 13 (7.32%)
"Yamamoto, Yoshinobu",R,1-2,FS zone 14 (10.87%),FS zone 13 (10.87%),SL zone 14 (6.52%),CU zone 14 (6.52%),FF zone 5 (4.35%)
"Yamamoto, Yoshinobu",R,2-0,FF zone 14 (17.39%),FF zone 6 (13.04%),FF zone 5 (8.7%),SI zone 7 (4.35%),FF zone 12 (4.35%)
"Yamamoto, Yoshinobu",R,2-1,SI zone 13 (19.35%),CU zone 14 (9.68%),FC zone 14 (9.68%),CU zone 7 (6.45%),FC zone 9 (6.45%)
"Yamamoto, Yoshinobu",R,2-2,FS zone 13 (21.95%),FF zone 5 (9.76%),SL zone 14 (7.32%),CU zone 14 (7.32%),SI zone 13 (7.32%)
"Yamamoto, Yoshinobu",R,3-0,FF zone 5 (25.0%),FF zone 1 (12.5%),FF zone 2 (12.5%),FF zone 9 (12.5%),FF zone 13 (12.5%)
"Yamamoto, Yoshinobu",R,3-1,FC zone 8 (20.0%),FC zone 14 (13.33%),CU zone 14 (6.67%),FF zone 2 (6.67%),FF zone 5 (6.67%)
"Yamamoto, Yoshinobu",R,3-2,SI zone 13 (15.15%),CU zone 14 (9.09%),FS zone 13 (9.09%),FF zone 2 (6.06%),FF zone 5 (6.06%)
